id,x,y,z,neighbors
197,12.189540,145.427231,9.584526,0
3916,10.389695,18.866411,8.231926,0
3917,11.022629,24.347516,8.138587,0
160,10.868326,32.337466,10.677965,2
200,13.607196,35.401072,11.111080,0
161,11.039901,37.860986,11.048574,2
161,11.039901,37.860986,11.048574,2
162,10.840651,43.076887,10.964968,3
5741,10.861668,46.153187,8.218582,0
164,10.869538,54.126612,11.076612,3
165,10.437942,59.498482,11.014545,2
145,10.096909,66.329504,9.520264,3
4029,10.818461,106.299093,8.097010,0
4030,11.134080,111.323142,8.298131,0
5778,10.784501,116.592859,8.312488,0
167,10.780404,119.524515,11.427164,2
168,11.007974,125.147870,11.008324,2
207,13.642962,127.593283,11.083084,0
169,10.779439,130.517095,11.012589,4
169,10.779439,130.517095,11.012589,4
170,10.977843,135.916023,11.105459,3
170,10.977843,135.916023,11.105459,3
171,10.752021,141.466007,10.879424,3
172,10.435309,146.265727,11.070281,1
158,10.144318,153.075205,9.528660,2
175,12.420968,31.057554,9.373141,4
176,11.792537,34.204886,12.324327,1
178,12.335626,39.103299,12.588335,3
217,14.826462,44.806548,9.530496,0
183,12.225644,52.678618,9.777364,4
184,12.220986,58.438531,9.788529,4
225,15.020099,115.312477,9.787039,0
190,12.320921,123.468652,9.728515,4
191,12.275764,126.654907,12.645716,1
194,12.285308,134.717710,9.518229,4
195,12.786535,136.766179,12.503622,2
3926,13.536544,21.770647,8.251027,0
199,13.189591,29.441140,10.866668,2
238,16.199434,32.781257,10.837871,0
200,13.607196,35.401072,11.111080,3
201,13.641823,40.617820,11.142577,3
240,16.283031,43.414634,10.780707,0
202,13.457937,46.147570,11.122961,2
202,13.457937,46.147570,11.122961,2
203,13.706185,51.513900,11.341625,2
242,16.642155,54.541174,10.840863,0
204,14.114708,57.600998,10.879401,2
243,15.982752,59.401299,11.219251,0
4047,14.744963,69.195843,6.840469,0
4063,16.215059,111.472785,8.354336,0
205,13.177635,116.001829,11.043397,1
245,16.207534,119.403026,11.161998,0
206,13.601121,122.192798,11.267789,2
207,13.642962,127.593283,11.083084,4
207,13.642962,127.593283,11.083084,4
208,13.670781,133.454056,10.956848,3
208,13.670781,133.454056,10.956848,3
5981,13.473429,136.107513,8.072055,0
249,16.618393,141.337048,11.081996,0
4147,16.293191,149.406578,8.298006,0
252,17.777926,26.065940,9.761883,0
213,14.823820,33.950901,9.383772,3
214,15.391263,36.525264,12.300347,3
216,15.116190,42.260876,12.660520,2
